,User,Date Created,Number of Likes,Source of Tweet,Tweet
2249,promobyte_,2023-01-31 12:06:14+00:00,0,Twitter for Android,"[Amazon] Multifuncional HP Ink Tank 416 - Tanque de Tinta (Z4B55A) Preto

🛒 https://t.co/pZg5NEPKiv

🔥 R$749,90 no pix
💳 R$ 789,37 em até 10x

📦 Frete grátis Prime https://t.co/9JJoSdHbCH"
2250,Medhileckmasta,2023-01-31 12:04:52+00:00,0,Twitter for iPhone,@noon451 @NetflixFR @AmazonPrime La saison 3 c’est le quartier des plaisirs car actuellement la saison 2 sur prime c’est le train de l’infini
2251,ronaldtotena,2023-01-31 12:04:45+00:00,0,Twitter for Android,"Por eso la entrada #Netflix #AmazonPrime y otras plataformas de streamen, no generaron tanta discordia pq acabaron con las tiendas de alquiler de video, estas no eran gremio político. La ecuación es fácil. Gremio politico= votos. #BuenosDias"
2252,noella_glass,2023-01-31 12:04:35+00:00,0,Twitter Web App,Reinstated Amazon Prime yesterday to get emergency food for Maya recommended by the vet.
2253,Relax_Subcultur,2023-01-31 12:04:25+00:00,0,Twitter for iPhone,"【AD】サービス色々Amazonプライム会員🌟まずは30日間の無料🆓体験▷ https://t.co/bpE23BLlir
◉お急ぎ便・お届け日時指定便を何度使っても無料
◉Prime Video特典対象の映画・TV番組が見放題🎥
◉Amazon Music Primeで1億曲がシャッフル再生で聴ける♬
..など沢山の特典をご利用頂けキャンセルも簡単 https://t.co/Jwg9f6OdyW"
2254,JRoachAuthor,2023-01-31 12:04:10+00:00,0,RADAAR,"Goodreads Review!  Prime delivery from Amazon.

#thrillerbooks #instagood #readers #OBP https://t.co/7Wr87eWmGM"
2255,Deepizzle18,2023-01-31 12:03:05+00:00,0,Twitter for iPhone,@abimbolaessien_ Boss give me film or watch on prime or Amazon
2256,amt_descontos,2023-01-31 12:02:45+00:00,0,IFTTT,"✨ CUPOM DE DESCONTO AMAZON! ✨

https://t.co/6Z4LuAcnY1
https://t.co/6Z4LuAcnY1
https://t.co/6Z4LuAcnY1

Pegue aqui os melhores cupons de descontos para economizar muito na Amazon!

#Oferta #Cupom #Cupons #Desconto #CupomDeDesconto #Promoção #AmazonPrime #Amazon
 January 31, 2… https://t.co/TxFZZlS0L8"
2257,dr3skvll,2023-01-31 12:02:41+00:00,0,Twitter for iPhone,"@Liidisliidat @thelandee Hulu doesn’t work here properly without a vpn and a card with a us address. Not sure if HBOMax still has a free trial but look and see, if you have Amazon prime HBOMax used to offer a free trial with that as well."
2258,ichihimeraku,2023-01-31 12:02:29+00:00,0,Botbird tweets,"アニメ『キングダム第4シリーズ』
Amazon prime videoで見れます✨

🔻プライムビデオで見る🔻
https://t.co/6mGdzYCZkD

見逃した方も、もう一度見たい方も😊
30日間無料体験あり🉐
映画も楽しみ🥰

#キングダム　#キングダム2"
2259,tododiadahora,2023-01-31 12:02:04+00:00,5,Twitter for Android,"A série tem muito lado pela comédia mas consegue abordar temas meio pesados de forma bem interessante, e com personagens bem interessantes e carismáticos. Uma ótima série de super heróis bem divetidinha. mas tá disponível na Amazon prime.

Nota:7/10"
2260,apple0222ourin,2023-01-31 12:01:51+00:00,0,Botbird tweets,"アマギフチャージはお得!!でも #Amazon でお買いものするだけじゃない!税金の支払いも!

チャージ▶https://t.co/Sc0rkO3mJ9

Prime会員▶https://t.co/WClyfLUHeD

Amazon Music Unlimited▶https://t.co/8S3FEOYRf8

Prime video独占配信も
#Amazonpay　#Amazon"
2261,PauLitPie1_2,2023-01-31 12:01:35+00:00,1,Twitter for iPhone,@BlackPanthaaYT Thank god! Amazon Prime and Disney Plus are now in the Philippines 🇵🇭 so i can finally watch #TheBoys https://t.co/BKpQAcHjmK
2262,BetterMovieBot,2023-01-31 12:01:08+00:00,3,BetterMovieBot,"🌟 Top Rated 🌟
        
🎞 The King's Speech
👥 Colin Firth - Geoffrey Rush - Helena Bonham Carter
🗓️ 2010
💻 Amazon Prime Video - Hoopla
🎥 Drama - History
⭐ 7.7
            
#AmazonPrime #Hoopla https://t.co/QGy4JQJrpB"
2263,shindanchart,2023-01-31 12:01:07+00:00,1,みんなの診断チャート（投稿）,"#みんなの診断チャート
診断チャートを募集しています

お題：映画🎞
オススメの作品やキャラクター診断など、診断チャートでシェアしてみませんか？

作成はこちらから⬇
https://t.co/YOeebUjjSu

#映画 #映画好きと繋がりたい  #映画好きな人と繋がりたい #Netflix #AmazonPrime"
2264,Kaede_BluPro,2023-01-31 12:00:41+00:00,3,Twitter Web App,"凄い事に気が付いたかもしれない。
BLUELOCKこれProject Sky Blueの中核の一角かも。
わかる？BLUEの文字と
なによりAmazon Prime Videoで見ると
はじめにバンダイナムコのロゴ出てくんぞ！！！"
2265,LS_Shopping,2023-01-31 12:00:40+00:00,0,IFTTT,"📉 MINIMO STORICO 📉

📍 Tommy Hilfiger Top a Costine in Modale Sottile Altri Maglia, Black, M Donna

🛒 https://t.co/BhM3QiRsBm

💰 A soli 39,00 invece di 79,90
💸 Risparmi 40,90 (52%)
6 Recensioni: 4.0 / 5.0 ⭐️⭐️⭐️⭐️
🛒 Spedizione Gratuita con Amazon Prime 

#Moda #Maglieama…"
2266,LS_Shopping,2023-01-31 12:00:37+00:00,0,IFTTT,"📍 Levi's Ls Std Graphic Tee Hm Ls Black Graphic, Maglia a Maniche Lunghe Uomo, Hm Ls Better Black, XL

🛒 https://t.co/UBPnNimyp0

💰 A soli 22,50 invece di 40,00
💸 Risparmi 17,50 (44%)
3,010 Recensioni: 4.4 / 5.0 ⭐️⭐️⭐️⭐️
🛒 Spedizione Gratuita con Amazon Prime 

#Moda #M…"
2267,LS_Shopping,2023-01-31 12:00:37+00:00,0,IFTTT,"📍 Geox B Macchia Girl A, Primi Passi Bimba 0-24, Rosa (Dk Rose 7C8007), 18 EU

🛒 https://t.co/WJClLr49rG

💰 A soli 29,94 invece di 49,90
💸 Risparmi 19,95 (40%)
101 Recensioni: 4.5 / 5.0 ⭐️⭐️⭐️⭐️⭐️
🛒 Spedizione Gratuita con Amazon Prime 

#Moda #Scarpineprimipassi"
2268,LAJUMP_,2023-01-31 12:00:31+00:00,8,TweetDeck,"Hoje tem Lakers em quadra! #LakeShow   

🆚️ New York Knicks
🏟 Madison Square Garden
⏰ 21:30
📺 Amazon Prime Video | NBA League Pass | @PurpleLinksBR https://t.co/N02xSjZeXa"
2269,jf_wanted,2023-01-31 12:00:25+00:00,0,Twitter for iPhone,@umacornalisa o único que eu assino é a Amazon prime e de vez em quando ainda me pego usando o stremio pra assistir as coisas de lá pq não pesquisei de onde era a série 🤡
2270,RetroPunkGD,2023-01-31 12:00:14+00:00,5,Twitter for Android,"A série ‘Periféricos’ da Amazon Prime é baseada nos escritos de William Gibson e é a cara de RetroPunk RPG! Vem conferir com o Fábio Medeiros mais algumas relações pra você usar na sua mesa!

https://t.co/XxmtnqRvHO https://t.co/gutvMoqjf2"
2271,Actusmedia,2023-01-31 12:00:00+00:00,0,Twitter Web App,[Amazon Prime Video] Découvrez le programme des sorties de février 2023 ! https://t.co/Ve9irPruGK
2272,coxodopc,2023-01-31 11:59:22+00:00,4,Twitter for iPhone,Eu quando não gosto que me apontem o dedo por parentalidade por encomenda na Amazon Prime
2273,warafujino11,2023-01-31 11:59:15+00:00,0,ranking Man,"♻人気のAmazonPrimeビデオです♻

⏩ありがとうアローラ！それぞれの旅立ち！！
https://t.co/YeKBYuHjhW
#ad"
2274,bksxu_,2023-01-31 11:59:04+00:00,0,Twitter for iPhone,"𓈒⠀ྐ♡ Amazon Prime  ˚ 🎄  

ֺ⭑ 30 day   55 b.  

⁕ แหล่งรวมหนัง ซีรี่ย์ต่างประเทศ
⁕ รับชมแบบไม่มีโฆษณาคั่น เคลมตลอดการใช้งาน

🌕 สั่งซื้อทักไลน์  https://t.co/T3Wa9PzLok | dⓂ︎ ᯅ̈

#หารamazon #หารamazonprime #หารPrimeVideo #หารPrimeVideoราคาถูก #หารamazonprimeราคาถูก"
2275,Shinbeixx01,2023-01-31 11:58:24+00:00,0,Twitter for iPad,"꒰ 𓈒♡̷ Amazon Prime *꒱ 🍃

 7 days 25฿
30 days 70฿

*ดูหนังแบบHD
*ดูหนังแบบฟินๆได้ทั้งวัน
*หารร่วม รับประกันตลอดการใช้งาน

รี+เฟบก่อนเดม

สั่งซื้อ 👉🏻 https://t.co/w7g373QQYH  

#หารamazonprimeราคาถูก #หารamazon #หารamazonราคาถูก #หารอเมซอน #หารamazonprime https://t.co/lEjDeJi9X5"
2276,Shinbeixx01,2023-01-31 11:58:11+00:00,0,Twitter for iPad,"꒰ 𓈒♡̷ Amazon Prime *꒱ 🍃

 7 days 25฿
30 days 70฿

*ดูหนังแบบHD
*ดูหนังแบบฟินๆได้ทั้งวัน
*หารร่วม รับประกันตลอดการใช้งาน

รี+เฟบก่อนเดม

สั่งซื้อ 👉🏻 https://t.co/w7g373QQYH  

#หารamazonprimeราคาถูก #หารamazon #หารamazonราคาถูก #หารอเมซอน #หารamazonprime https://t.co/lVLfss8OHJ"
2277,powerprems,2023-01-31 11:56:49+00:00,1,Twitter Web App,"— 1m shared account 
     
grammarly : 20.00                                      
viu ph based : 30.00                                                     
quillbot : 40.00            
amazon prime video : 50.00
disney plus : 90.00    

mop: gcash / maya / paypal (+)"
2278,vitasikf,2023-01-31 11:56:33+00:00,1,Twitter for Android,@yagami_0302 Amazon primeのことかあ😅 https://t.co/ch7hLM5IMN
2279,Oluwaxplorer,2023-01-31 11:55:57+00:00,0,Twitter for iPhone,@ogunyemidebo It’s on Amazon prime
2280,Kshitij20436757,2023-01-31 11:54:26+00:00,0,Twitter for iPhone,@asifkapadia are there any updates with the season 2 of the last hour on Amazon prime?
2281,danielpetersdop,2023-01-31 11:53:45+00:00,1,Twitter for iPhone,"Netflix, Amazon Prime and SAVE JANE on @Tubi 

#filmmaking #netflix #amazonprime #tubi #savejane #danielpeters #dop #director #writer #cinematographer #ukfilmmaker #britishfilmmaker #bristolfilmmaker #independentfilm #featurefilm #literaryagent #talentmanager #netflixuk https://t.co/l6HthW1pT4"
2282,LucasCiel,2023-01-31 11:53:41+00:00,0,Twitter for iPhone,Amazon prime quel miel 🥹🥹
2283,o_chan_1998,2023-01-31 11:53:41+00:00,1,Twitter Web App,"twenty fourを急に見たくなったけど、amazon primeで放映していないのね。

シーズン2とシーズン3をTSUTAYAで借りてこようかなー。

キムバウアーの困ったちゃんムーブさえ無視すれば、シーズン2が一番好きなのだ。"
2284,Lynae_Love,2023-01-31 11:52:30+00:00,2,Twitter for Android,I suggest people watch The Days of Noah on Amazon prime. Very interesting
2285,KateNasser,2023-01-31 11:52:30+00:00,1,TweetDeck Web App,Amazon Launches RxPass: a $5 Generic Prescription Drug Subscription Program for Prime Members #Amazon #Health via @wonderoftech https://t.co/FJSWdnblCa
2286,elval3n_04,2023-01-31 11:51:29+00:00,0,Twitter for Android,"87)

31/1/2023

⭐⭐⭐⭐

(Amazon Prime)

Dir: Pablo Trapero https://t.co/wOKT5XtHv1"
2287,takahitohito,2023-01-31 11:51:02+00:00,0,Botbird tweets,"チェンソーマン大好きすぎる✨
まだ見てないならAmazonPrimeで見て😆
／
ここから見れる❗️
➡https://t.co/zy8HlSTUen
＼

アマプラ登録してない人は30日間無料期間あるから、タダで試してみて

米津玄師の主題歌もカッコイイ☺

#チェンソーマン #chainsawman #マキマ #デンジ 
#米津玄師"
2288,Mbacha14,2023-01-31 11:50:50+00:00,0,yellow_002,"Amazon Prime Video 人気ランキング

✨第3⃣位✨
『Family bonds』

Prime Videoおすすめ1位〜20位は⬇
https://t.co/nI3160KIwR

商品は⬇
https://t.co/TNVUKhEUc6"
2289,FreshXIX,2023-01-31 11:50:45+00:00,0,Twitter for iPhone,@crista__ath balance ton amazon prime wsh 😳
2290,cazandocholloss,2023-01-31 11:50:36+00:00,0,Make (formerly Integromat),"#Amazon 125994
🔥🔥🔥 SteelSeries Prime Mini Wireless - Ratón de Gaming Inalámbrico Esports Performance - Batería de 100 horas - Interruptores óptico magnéticos -  Diseño Mini

✅ 79,99€
⛔️ 169,34€

➡️  https://t.co/saqxls2z1M"
2291,sharconado,2023-01-31 11:50:02+00:00,1,Twitter Web App,@eIIenzita Mentira que tu tem amazon prime KKKKKKKKK
2292,JPLanonyme,2023-01-31 11:49:59+00:00,3,Twitter Web App,"@Pat77432407 Donc quand les québécois se désabonnent de Videotron ou Bell, ce n'est pas une question de moyens, mais de choix.
Netflix, Amazon Prime, Apple TV+ ou Disney+, c'est quand même au total 40$ à 60$ par mois."
2293,JosiPromocao,2023-01-31 11:49:32+00:00,1,Twitter Web App,"*🚚FRETE GRÁTIS🚚 (AMAZON PRIME)*

-* Mop Limpeza Geral Plus, MOP7671, Verde, Flash Limp *

🔥🔥 * R$39,90 à vista*

✅*Acesse* &gt;&gt;&gt; https://t.co/SNG2A7xs0p https://t.co/hbbnHY32sN"
2294,tyrunn,2023-01-31 11:49:12+00:00,0,Twitter for Android,"@bisquiat @PinkNews @netflix @BBCAMERICA @AmazonPrime Heartstopper is incredibly cheap, the whole series probably cost less than one episode of something like First Kill.

I've no doubt had HS cost that much it probably wouldn't be coming back."
2295,FOQ1jbCdv6tiAKf,2023-01-31 11:48:28+00:00,0,twitter支援プログラム,"Pixio PX248 Prime ゲーミングモニター 23.8インチ FHD IPS 144Hz 1ms 2年保証 Amazon 1132

売れ筋商品
https://t.co/pAqSBnkGbd"
2296,tonyfasousa,2023-01-31 11:48:03+00:00,0,SocialBee,"🔆
🔆🔆🔆🔆🔆 ""I managed to read it in just few sittings, which shows how engrossing it was."" - Amazon Review

🔆 Undertakers Inc. The Necromancer's Love by  JC Compton https://t.co/WJykU9M3PV 🔆

#READ #FREE via #KindleUnlimited #eBook
Avail in #Prime #Paperback
#BookTwitter https://t.co/7xx1MoLhVv"
2297,DealsUnlimited8,2023-01-31 11:47:51+00:00,0,DealsUnlimitedUSA,"Apple iPhone 13 Leather Case with MagSafe - Midnight

💥 Now: $ 27.99
📉 Average: $ 58.99

📦 #AmazonPrime

👉 🔗https://t.co/qM0OjNOe1P 👈 
#ad https://t.co/zCWdkN0doE"
2298,grahamcox82,2023-01-31 11:47:15+00:00,0,Twitter Web App,"@AmazonHelp Oh, it's pretty obvious that it's a scam call. I've no concerns with that.
I just found it amusing that the scam was undercutting Amazon on pricing. They were claiming I was about to be billed £79.99 for my Amazon Prime membership, when it's gone up twice since it was that price!"
2299,latstbollywood,2023-01-31 11:47:04+00:00,0,Blog2Social APP,"10 OTT Releases To Watch On Netflix, Amazon Prime, Hotstar, Sony LIV In February 2023:- Here is a list of new releases in February 2023. Check out the information on the latest and upcoming shows and movies available on OTT streaming platforms such as

https://t.co/Yb8kPYI5Gb https://t.co/L4vlNngtqi"
2300,promobyte_,2023-01-31 11:46:37+00:00,0,Twitter for Android,"[Amazon] Secador de cabelo, Easy travel, 800w, Preto, Bivolt, Britânia

💰 R$59,90

🛒Compre na Amazon👇🏻
👉🏻 https://t.co/7OotvPyBsd

📦 Frete grátis no Prime https://t.co/TpdDwRkmss"
2301,FunkoBigEComm,2023-01-31 11:46:31+00:00,0,FunkoAmazon,"#funko  Town: Walt World 50th - Space Mountain And Mickey Mouse Amazon &amp; : Walt World 50th - Minnie Mouse On The People Mover Multicolor
Link-&gt;https://t.co/GzE9s1Oem1
11:46:08 2023-01-31 UTC
*Free Shipping for Prime Members* https://t.co/hKUTg7KJkK"
2302,favorite_vod,2023-01-31 11:46:04+00:00,0,SocialDog for Twitter,"【オススメシーン】「王様ランキング」第5話｜Amazon Prime Videoほか各配信サイトで配信中！　#short #山下大輝   ✨ エンタメを楽しみつくす！ #推し活
https://t.co/lmiXLX3tA9"
2303,bananamize,2023-01-31 11:46:00+00:00,0,Twitter Web App,"🔥 *É sempre bom ter* 🔥

🔺🔺 *Luminária de Emergência Autônoma LEA30 Branco Intelbras*
🛒 Compre aqui: https://t.co/LuaX3X5Hnp

💵💳 *R$ 15,90 à vista*

📦 Frete Grátis c/ Amazon PRIME"
2304,jam_qr,2023-01-31 11:45:17+00:00,12,Twitter for iPhone,"疲れたり 観たいTVがない時は YouTubeやNetflixやAmazonprimeやDisneyplusなんだけどね
何って決めれない時は YouTubeで
モッパンみるの 韓国のYouTuberのモッパンで 家族でやってるのが 最高に好きで😆皆さんも疲れたら是非😆 もりもり食べる動画でストレス解消できるよ😆‼️"
2305,TshirtPainter,2023-01-31 11:45:00+00:00,0,TweetDeck,"TheTshirtPainter #NationalParks posters tshirts hoodies at #AmazonPrime #Yellowstone #Denali #GreatSmokies #MtShasta #RockyMountain more #Amazon #Ad   

https://t.co/Pe790akAm0  https://t.co/Nqov0cG8nN"
2306,keysunique,2023-01-31 11:44:31+00:00,1,Twitter for iPhone,@youloveJAE It will be on Tubi 2/3/23. Amazon Prime now
2307,JosiPromocao,2023-01-31 11:44:15+00:00,1,Twitter Web App,"*🚚FRETE GRÁTIS🚚 (AMAZON PRIME)*

-* Amaciante Concentrado Downy Perfume Collection Adorável 1,35 L *

🔥🔥 *R$ 20,61 à vista*

✅*Acesse* &gt;&gt;&gt; https://t.co/N9maEEjnUn https://t.co/aoZFNQR9Ps"
2308,DealsUnlimited8,2023-01-31 11:44:13+00:00,0,DealsUnlimitedUSA,"Dr. Brown’s Natural Flow® Anti-Colic Options+™ Wide-Neck Baby Bottles 9 oz/270 mL, with Level 1 Slow Flow Nipple, 4 Pack &amp; Deer Lovey with H...

💥 Now: $ 30.64
📉 Average: $ 38.26

📦 #AmazonPrime

👉 🔗https://t.co/xDw1VGlORY 👈 
#ad https://t.co/hqtgPuV5jg"
2309,DrAlfredUL,2023-01-31 11:43:57+00:00,0,Twitter Web App,"@JayaSrinivas18 @itzGANESH_15 @PrimeVideoIN T67 Netflix  kitta tan rights irruku
already Netflix gave hint when they announce all Tamil &amp; telugu lineup in 2023 except  one film&amp; caption was We are waiting nuSo T67 Netflix tan 

varisu tan Amazon prime video"
2310,Homura_fgo_nts,2023-01-31 11:43:48+00:00,1,Twitter for iPhone,"@redol_0H0w0M0 アギトバーニングフォーム
↓
Amazon prime Video
↓
アギトシャイニングフォーム(SUN☀️のエネルギーを取り込むから)"
2311,COLOR_Navy_,2023-01-31 11:43:43+00:00,10,Twitter for Android,"1月見た Amazonprimeビデオ
.
#君の名は
#結婚するって本当ですか
#キングダム"
2312,JosiPromocao,2023-01-31 11:43:34+00:00,1,Twitter Web App,"🚚FRETE GRÁTIS🚚 (AMAZON PRIME)
Vodka Absolut Vanilla 750 Ml
🔥🔥 R$64,90 
✅Acesse &gt;&gt; https://t.co/YgbGGJ6uhK https://t.co/GlNqzqXafq"
2313,bananamize,2023-01-31 11:43:28+00:00,0,Twitter Web App,"😍 *Com proteção labial* 😍

🔺🔺 *BEPANTOL DERMA PROTETOR LABIAL DIÁRIO FPS 50, Bepantol*
🛒 Compre aqui: https://t.co/uz6hMC6EK0

💵💳 *R$ 18,25 à vista*

📦 Frete Grátis c/ Amazon PRIME"
2314,nyaopyonn__,2023-01-31 11:43:24+00:00,0,Twitter for iPhone,普通にAmazon prime会員になるしか😭😭😭😭もっと地上波で尚大を出そうよ！！！！！！！！！！！！！！
2315,ishhara_photo,2023-01-31 11:42:50+00:00,1,Twitter for Android,"@nakiwww @simoda39 Amazon Primeに登録されてますか？
されているなら、AmazonPhotoがオススメ

追加料金無しで写真なら「無限に」保存できます！（動画は制限アリ）

しかも、RAWデータもOK

自分はバックアップ用に使ってますよ😇"
2316,JosiPromocao,2023-01-31 11:42:43+00:00,1,Twitter Web App,"*🚚FRETE GRÁTIS🚚 (AMAZON PRIME)*

-* Smart Tv Philco Roku 32"" Led Hd - Ptv32g70rch *

🔥🔥 * R$1.149,00 em 10x*

✅*Acesse* &gt;&gt;&gt; https://t.co/1VX1qmh6qN https://t.co/zllu2uOj4s"
2317,com18769910,2023-01-31 11:41:25+00:00,0,Botbird tweets,"大容量なのにこの価格！メチャクチャ売れてます♪
[Amazon限定ブランド]デカラクサイズ アタックZERO
https://t.co/SyoNdlQpE2
大容量で運ぶのが大変だけどprimeだから送料無料(^^♪
私も愛用していますおススメです～♪"
2318,Technikinfo_One,2023-01-31 11:41:21+00:00,0,IFTTT,(Auto-News) Amazon Prime sichert sich die Rechte an Tomb Raider und will daraus ein Franchise stricken https://t.co/JHmXqfUcyw
2319,Elephant_ITR,2023-01-31 11:41:00+00:00,1,Twitter for Android,"@ckingDead Yeah, I can't see anything about a ban. I've searched a few sites that supposedly tell you where you can stream in your area. One suggested Prime, but that only leads to a physical copy on Amazon, not streaming. Google play has it listed but then says it's unavailable. Seems odd."
2320,bananamize,2023-01-31 11:40:45+00:00,0,Twitter Web App,"😱 *Aproveitaaa* 😱

🔺🔺 *Energético Fusion, Garrafa Pet com 500ml*
🛒 Compre aqui: https://t.co/896BIrZpAI

💵💳 *R$ 3,75 à vista*

📦 Frete Grátis c/ Amazon PRIME"
2321,proikpeamroan,2023-01-31 11:39:37+00:00,2,Twitter for Android,"@redol_0H0w0M0 ウルトラマン
         ｜
Amazon Prime Video
          ↓
ウルトラマンサーガ"
2322,lebonplantechfr,2023-01-31 11:39:10+00:00,0,IFTTT,"Actualité : Optimus Prime prend les poses chez Robosen

🔥 Bons plans Amazon : https://t.co/ipPRRh6ocZ https://t.co/Soo3nkH1nd"
2323,LilouLeManchot,2023-01-31 11:38:47+00:00,3,Twitter Web App,"Pour me soutenir, du gratuit au + cher :
- lurker le stream (mettre en fond sans forcément participer, les viewers de l'ombre je vous aime)
- participer dans le tchat, même un bonjour suffit &lt;3
- follow la chaine
- utiliser votre prime si vous avez un compte amazon prime"
2324,Color06917841,2023-01-31 11:38:41+00:00,0,Botbird tweets,"Amazon Prime Video チャンネル▽
https://t.co/PBNJhb5yV1

観たい何かがいつもある。プライム会員になれば、会員特典対象の作品が見放題。
ライフスタイルに合わせて、 月間プランからお気軽スタートも、 年間プランでお得にご利用も。"
2325,Economizzando2,2023-01-31 11:38:32+00:00,0,economizzando,"Climatizador de Ar Britânia 3 Em 1 Bcl01f 110v 110v - (Amazon)

👉 https://t.co/yQyXrJPdfU

R$296,99
R$296,99
⚡️ Assine Prime 👉 https://t.co/3ieWzrq6c8

🔍 Grupos de Whatsapp e Telegram: 
 https://t.co/rzqYRPrCbc https://t.co/FBSAjOCzzB"
2326,xetdaspromocoes,2023-01-31 11:38:16+00:00,218,Twitter Web App,"📢 OFERTA - Amazon
👍 Absolut de Baunilha no precinho!

🍹 Vodka Absolut Vanilla 750ml

💵 R$ 64,90
🚚 Frete Grátis Prime

🔗 https://t.co/D8ugmaB0qo
🔗 https://t.co/D8ugmaB0qo
🔗 https://t.co/D8ugmaB0qo https://t.co/S1Bh1CQdCr"
2327,memalamanu,2023-01-31 11:37:52+00:00,1,Twitter for iPhone,"@StefanoPutinati Condivido, rompono sempre! Anch’io sono prime! Acquisto praticamente tutto su Amazon ma se continuano li mollo, gliel’ho già scritto!"
2328,aoi87824306,2023-01-31 11:37:08+00:00,0,Twitter for Android,"Amazonで1/1に購入した商品。
当初1/29〜1/31に配達のはずが今更未定になったんだけど。そんなレアな品物じゃないのに何故!!ww
それともこれは配送近いからまたすぐに日にち知らせるねっていう前向きな方向？どちみち予定過ぎるけど。Prime会員だけどこんなの初めて。 https://t.co/toTMTJl9W4"
2329,AmazonHelp,2023-01-31 11:36:47+00:00,0,Sprinklr,"@heisendo Amazonです。ご不便をおかけしております。
Prime Videoアプリの見放題、またはブラウザで見放題対象を選択いただいている状況でしょうか。
お手数ですが、アプリや端末の再起動や、ブラウザのキャッシュクリアをお試しいただき、改善しない場合はお知らせいただけますようお願いいたします。山本"
2330,GCLAB4,2023-01-31 11:36:11+00:00,0,Twitter Web App,"#多様性 #ダイバーシティ #経済成長
いまならAmazon Prime会員は無料で購入できます！
日本の成長、持続性をするためには、まずダイバーシティ強化です。性別、国籍、文化の違いを寛容な、新しい価値を作っていく本です。

https://t.co/xM18oLqphs"
2331,Rukkie,2023-01-31 11:36:08+00:00,0,Twitter for iPhone,Amazon prime dishing out great contents 👌👌
2332,datos_digital,2023-01-31 11:36:06+00:00,0,SocialBee,The 10 Best Amazon Prime Films Right Now : #analytics #googleads #facebookads https://t.co/IEvlrxHYDN
2333,Gonworldconnect,2023-01-31 11:36:02+00:00,0,Twitter Web App,"Si te gusta Pedro Pascal como Joel, has de ver este The Last of Us en el espacio en forma de película que está disponible en Amazon Prime  https://t.co/g8hwb6YwVc a través de @3djuegos"
2334,ana_liseur,2023-01-31 11:35:58+00:00,1,Twitter for Android,@nonadedana Ils sont sur Amazon Prime. Sinon Flixtor . to
2335,neko_wasa,2023-01-31 11:35:46+00:00,9,TweetDeck,"定例の映画会やるわよ！
AmazonPrimeでみます！（レンタルで２００円、購入で５００円で見られます）ちょっと見放題作品じゃないけどおすすめなのでよかったら・・・！オモシロイヨ！ https://t.co/SHPsxHdksj"
2336,JosiPromocao,2023-01-31 11:34:43+00:00,1,Twitter Web App,"*🚚FRETE GRÁTIS🚚 (AMAZON PRIME)*

-* Bacia 8 Litros Retrátil Verde Esmeralda, RET3499, Flash Limp *

🔥🔥 *R$32,90 À vista*

✅*Acesse* &gt;&gt;&gt; https://t.co/jW1JJT4LJV https://t.co/X2NgvxDwnk"
2337,bananamize,2023-01-31 11:34:43+00:00,1,Twitter Web App,"😱 *Corree* 😱

🔺🔺 *Desodorante Aerossol Fresh, Bozzano*
🛒 Compre aqui: https://t.co/va2W1f89J8

💵💳 *R$ 7,54 à vista*
💵💳 *R$ 6,79* na compra com recorrência (você pode cancelar quando quiser)

📦 Frete Grátis c/ Amazon PRIME"
2338,hanchou0120,2023-01-31 11:34:34+00:00,0,hanchanss,"➡おすすめのAmazonprimeのアニメです

✔天使様と夕食
https://t.co/FtjBMgfWaS
#ad"
2339,RamtinDashti1,2023-01-31 11:34:26+00:00,0,Twitter Web App,"GrannyBellas Valentines Cookie Gift Baskets, 52 Gourmet Assorted Cookies, Prime Candy Box Ideas, Chocolate Chip Gifts, Mens Holiday Basket, Thanksgiving Food Delivery For Adults Her Men Women Families https://t.co/diTs5gYkf0 via @amazon https://t.co/bF48YWAA81"
2340,str8edge415,2023-01-31 11:34:21+00:00,4,Twitter Web App,これ見ちゃうとWBCが有料放送でAmazon primeでやるのは仕方ないしネット中継してくれるだけでも感謝しないといけないね
2341,konnarakteesood,2023-01-31 11:34:01+00:00,0,Twitter for iPad,"🌷พร้อมส่งนะคะ🌷 
 🛒Amazon prime
      7 day 25 baht
      30 day 58 bath 
💫รวมซีรีย์/หนัง/อนิเมะซับไทยหลายเรื่อง
💫 ไม่มีโฆษณาคั่น
❗Android เข้าดูในเว็บ
❗️ios ดูได้ทั้งในเว็บ/แอพ

Ask&amp;buy  https://t.co/c42kv38uxE or dm
#amazonprime #หารamazonprime #หารprimevideo #PrimeVideo https://t.co/YErWK6xfHF"
2342,Philtu24,2023-01-31 11:33:58+00:00,0,IFTTT,Amazon Prime sichert sich die Rechte an Tomb Raider und will daraus ein Franchise stricken https://t.co/fe7OwWBfkl
2343,ToysAndGames13,2023-01-31 11:33:22+00:00,0,toysandgames,"link: https://t.co/act65GHkx9
price: 14.9 $
McFarlane - DC Multiverse 7 - Superboy-Prime Infinite Crisis,Multi kleuren  ...
4.7 out of 5 stars
#amazon #online #shopping #buy #toys #games #kids #forkids https://t.co/VxXtobqTaj"
2344,AmarachanPr1,2023-01-31 11:33:14+00:00,0,Botbird tweets,"📢花束みたいな恋をした

Amazon primeで見れるよ！
↓↓↓↓
▶https://t.co/ATJDt6l7aq

プライム会員なら追加料金なしで、会員特典対象の映画やTV番組が見放題。
🎉Prime Video - 見放題独占配信中の作品も
↓↓↓↓
https://t.co/hkd0dlz3yg"
