,User,Date Created,Number of Likes,Source of Tweet,Tweet
111,RchlLyns319,2023-01-31 23:57:58+00:00,0,Twitter for Android,@TheRealLukevans @netflix I actually quite enjoyed it - well done! You truly have a wonderful voice! 🙂
112,9to5mac,2023-01-31 23:57:57+00:00,137,9to5Mac,Netflix details how it will prevent users from sharing their account password with others https://t.co/Xiuh3VkYlX by @filipeesposito
113,barbar95226848,2023-01-31 23:57:56+00:00,0,Twitter for Android,@avanunice #SaveWarriorNun #WarriorNun NETFLIX REVERSE YOUR DECISION
114,TitanFan_C_redo,2023-01-31 23:57:56+00:00,0,Twitter for iPhone,"@HeWhoRunsFades *Blinks in Ms. Marvel, Wandavision, Moon Knight, Ant Man, She-Hulk, the Netflix shows (I know, pre-merger), Loki https://t.co/AfCMe9cWWC"
115,m4nd4y,2023-01-31 23:57:55+00:00,0,Twitter for Android,"@Dirt822 @VincentCrypt46 It's being exposed as we speak. ""What the health."" On netflix."
116,ErickJousee,2023-01-31 23:57:55+00:00,14,Twitter for iPhone,"No hay nada mejor que darse un bañito, prender el netflix y quedarte en tu casa relax después de un día de trabajo. 😌"
117,SpikeAutobot,2023-01-31 23:57:55+00:00,2,Twitter for iPhone,@elianarose66 @scottmonaghan @netflix y’all down for this?
118,joseVanGol,2023-01-31 23:57:53+00:00,1,Twitter for Android,@vitofx @Ptss26 @netflix https://t.co/fDcm5PRr6E
119,Ringham7,2023-01-31 23:57:52+00:00,1,Twitter Web App,"Love @RyanReynolds makine big impact at @wrexhamfc. Determined to inbed himself with Wales, he insisted his Netflix film Red Notice carried subtitles in #Welsh subtitles. Reynolds might be amused with following story."
120,chasingbodies,2023-01-31 23:57:51+00:00,3,Twitter for Android,gonna fight out on this Netflix password sharing thing until the very end
121,carasimonespark,2023-01-31 23:57:51+00:00,1,Twitter for iPhone,"All things @netflix coming soon! 💋 
https://t.co/XaO1o4PKsZ 

#writing #writingcommunity #netflix #netflixandchill #popculture #blogger #movies #television #reviews https://t.co/wfTB67FnAb"
122,Pinkpenguin350,2023-01-31 23:57:48+00:00,3,Twitter for Android,"@steph090322 Only just seen this. Thaaaaaaanks! 😁
NETFLIX REVERSE YOUR DECISION
#SaveWarriorNun
#WarriorNun https://t.co/mEvK2UV9lO"
123,CLOS0001900067,2023-01-31 23:57:48+00:00,0,Twitter for Android,"@pamelaanderson loved the Netflix documentary!  Thanks for sharing. Grow more every day. Deepen your prayer life and see what happens next week!
#55isthebest"
124,diviniumrose,2023-01-31 23:57:47+00:00,1,Twitter for iPhone,"@Tiffany7117 freeport bahamas 😃
NETFLIX REVERSE YOUR DECISION
#SaveWarriorNun #WarriorNun https://t.co/oXKjwQB9Pw"
125,TTD94_YT,2023-01-31 23:57:45+00:00,0,Twitter Web App,"Instead of using bits and pieces in your reboot, what if you just left the DCEU continuity altogether after introducing the idea of a multiverse, and sold the DCEU continuity rights to Netflix? Start your own DCU from scratch. Fans would be happy. @JamesGunn"
126,LarchetJean,2023-01-31 23:57:44+00:00,0,Twitter Web App,"@MaximeChao De toute manière, c'est casse-gueule ces adaptations d'Astérix en prises de vue réelles. Les ayants droits devraient privilégier l'animation (films ou séries). Il y a une série animée signée Chabat pour Netflix prévue en 2024. Ça va redorer le bouclier de nos amis gaulois. 😉"
127,m_cingrosova,2023-01-31 23:57:44+00:00,1,Twitter for iPhone,"@albadict 😂 I love this fandom so much 
NETFLIX REVERSE YOUR DECISION
 #SaveWarriorNun"
128,BryanAlexMr,2023-01-31 23:57:43+00:00,0,Twitter for Android,"Se jodera Netflix con este cambio, tocará ir más a cine o piratear las películas...

@netflix @Netflixhelps @CheNetflix @netf"
129,BryanAlexMr,2023-01-31 23:57:42+00:00,0,Twitter for Android,"@NetflixLAT Esto no será positivo para la plataforma, muchos no tienen cuentas bancarias para pagar la cuenta de Netflix. En caso la compran y comparten pantallas... Eso generan más visitas y horas de pagos por los paquetes de película y series. Osea más streamings. 🧵"
130,CeceFaith1,2023-01-31 23:57:42+00:00,0,Twitter for iPhone,@jauregaysthetic NETFLIX REVERSE YOUR DECISION #SaveWarriorNun
